teamName,year,seed_points,results
Weber St.,2019,0,NIT
High Point,2019,0,NIT
Fairleigh Dickinson,2019,1,R64
Cal St. Fullerton,2019,0,NIT
Long Beach St.,2019,0,NIT
Cal St. Bakersfield,2019,0,NIT
Boston University,2019,0,NIT
Texas Southern,2019,0,NIT
Massachusetts,2019,0,NIT
Detroit,2019,0,NIT
Little Rock,2019,0,NIT
Eastern Washington,2019,0,NIT
Arkansas St.,2019,0,NIT
Army,2019,0,NIT
Siena,2019,0,NIT
Air Force,2019,0,NIT
Middle Tennessee,2019,0,NIT
Marist,2019,0,NIT
Southeastern Louisiana,2019,0,NIT
Eastern Kentucky,2019,0,NIT
Chattanooga,2019,0,NIT
Quinnipiac,2019,0,NIT
UMBC,2019,0,NIT
East Carolina,2019,0,NIT
UMKC,2019,0,NIT
Holy Cross,2019,0,NIT
Fordham,2019,0,NIT
St. Francis PA,2019,0,NIT
Western Michigan,2019,0,NIT
Youngstown St.,2019,0,NIT
Troy,2019,0,NIT
North Dakota,2019,0,NIT
LIU Brooklyn,2019,0,NIT
UC Davis,2019,0,NIT
Rice,2019,0,NIT
Evansville,2019,0,NIT
Cal St. Northridge,2019,0,NIT
The Citadel,2019,0,NIT
Sacred Heart,2019,0,NIT
Norfolk St.,2019,0,NIT
Morehead St.,2019,0,NIT
Delaware,2019,0,NIT
Longwood,2019,0,NIT
Tulane,2019,0,NIT
Navy,2019,0,NIT
Southern Utah,2019,0,NIT
Loyola MD,2019,0,NIT
Oral Roberts,2019,0,NIT
UNC Wilmington,2019,0,NIT
Albany,2019,0,NIT
Milwaukee,2019,0,NIT
St. Francis NY,2019,0,NIT
Cleveland St.,2019,0,NIT
Grambling St.,2019,0,NIT
New Orleans,2019,0,NIT
Tennessee Martin,2019,0,NIT
Fairfield,2019,0,NIT
Montana St.,2019,0,NIT
Drexel,2019,0,NIT
Robert Morris,2019,0,NIT
Houston Baptist,2019,0,NIT
Canisius,2019,0,NIT
Jacksonville,2019,0,NIT
George Washington,2019,0,NIT
Portland St.,2019,0,NIT
Western Carolina,2019,0,NIT
Towson,2019,0,NIT
Sacramento St.,2019,0,NIT
James Madison,2019,0,NIT
North Carolina Central,2019,1,R64
Western Illinois,2019,0,NIT
Monmouth,2019,0,NIT
UMass Lowell,2019,0,NIT
Texas A&M Corpus Chris,2019,0,NIT
Elon,2019,0,NIT
VMI,2019,0,NIT
Eastern Illinois,2019,0,NIT
North Alabama,2019,0,NIT
North Carolina A&T,2019,0,NIT
Tennessee St.,2019,0,NIT
Nicholls St.,2019,0,NIT
Howard,2019,0,NIT
Lafayette,2019,0,NIT
Central Arkansas,2019,0,NIT
Bethune Cookman,2019,0,NIT
UTEP,2019,0,NIT
Northern Arizona,2019,0,NIT
Niagara,2019,0,NIT
Wyoming,2019,0,NIT
Idaho St.,2019,0,NIT
Denver,2019,0,NIT
Saint Peter's,2019,0,NIT
Charlotte,2019,0,NIT
Southeast Missouri St.,2019,0,NIT
Wagner,2019,0,NIT
Mount St. Mary's,2019,0,NIT
Florida A&M,2019,0,NIT
Stephen F. Austin,2019,0,NIT
Jackson St.,2019,0,NIT
UC Riverside,2019,0,NIT
Portland,2019,0,NIT
Bryant,2019,0,NIT
Manhattan,2019,0,NIT
Binghamton,2019,0,NIT
Central Connecticut,2019,0,NIT
SIU Edwardsville,2019,0,NIT
Stetson,2019,0,NIT
Arkansas Pine Bluff,2019,0,NIT
Tennessee Tech,2019,0,NIT
McNeese St.,2019,0,NIT
Southern,2019,0,NIT
Cal Poly,2019,0,NIT
Alabama St.,2019,0,NIT
Maine,2019,0,NIT
Kennesaw St.,2019,0,NIT
USC Upstate,2019,0,NIT
South Carolina St.,2019,0,NIT
Morgan St.,2019,0,NIT
San Jose St.,2019,0,NIT
Incarnate Word,2019,0,NIT
Northwestern St.,2019,0,NIT
Savannah St.,2019,0,NIT
Coppin St.,2019,0,NIT
UNC Asheville,2019,0,NIT
Idaho,2019,0,NIT
Alabama A&M,2019,0,NIT
Mississippi Valley St.,2019,0,NIT
Alcorn St.,2019,0,NIT
New Hampshire,2019,0,NIT
Chicago St.,2019,0,NIT
Delaware St.,2019,0,NIT
Maryland Eastern Shore,2019,0,NIT
Kansas,2020,16,CHMP
Baylor,2020,16,F2
Gonzaga,2020,16,F4
Dayton,2020,16,F4
Michigan St.,2020,14,S16
Duke,2020,14,S16
Creighton,2020,15,E8
Ohio St.,2020,12,R32
San Diego St.,2020,15,E8
Louisville,2020,13,S16
Villanova,2020,14,S16
Arizona,2020,10,R32
Houston,2020,9,R32
Michigan,2020,12,R32
Penn St.,2020,11,R32
West Virginia,2020,10,R32
BYU,2020,11,R32
Oregon,2020,13,S16
Wisconsin,2020,13,S16
Florida St.,2020,15,E8
Seton Hall,2020,14,S16
Texas Tech,2020,7,R64
Purdue,2020,0,NIT
Butler,2020,12,R32
Providence,2020,10,R32
Maryland,2020,13,S16
Minnesota,2020,0,NIT
Kentucky,2020,15,E8
Illinois,2020,10,R32
Rutgers,2020,8,R64
Iowa,2020,11,R32
Florida,2020,8,R64
Marquette,2020,8,R64
Virginia,2020,11,R32
Wichita St.,2020,0,NIT
Indiana,2020,6,R64
Oklahoma,2020,8,R64
Utah St.,2020,7,R64
Auburn,2020,12,R32
Xavier,2020,0,NIT
Saint Mary's,2020,9,R32
Colorado,2020,9,R32
LSU,2020,9,R32
Syracuse,2020,0,NIT
Stanford,2020,0,NIT
North Carolina St.,2020,6,R64
Richmond,2020,5,R64
Cincinnati,2020,6,R64
Mississippi St.,2020,0,NIT
Saint Louis,2020,0,NIT
Georgia Tech,2020,0,NIT
Arkansas,2020,0,NIT
Oklahoma St.,2020,0,NIT
Washington,2020,0,NIT
Notre Dame,2020,0,NIT
Connecticut,2020,0,NIT
USC,2020,7,R64
St. John's,2020,0,NIT
Arizona St.,2020,7,R64
Alabama,2020,0,NIT
Tennessee,2020,0,NIT
South Carolina,2020,0,NIT
Memphis,2020,0,NIT
Northern Iowa,2020,0,NIT
Rhode Island,2020,0,NIT
San Francisco,2020,0,NIT
VCU,2020,0,NIT
Texas,2020,5,R64
North Texas,2020,4,R64
Davidson,2020,0,NIT
UCLA,2020,6,R64
Clemson,2020,0,NIT
Louisiana Tech,2020,0,NIT
Yale,2020,5,R64
Tulsa,2020,0,NIT
Georgetown,2020,0,NIT
East Tennessee St.,2020,6,R64
North Carolina,2020,0,NIT
Liberty,2020,5,R64
Nevada,2020,0,NIT
Texas St.,2020,0,NIT
SMU,2020,0,NIT
Akron,2020,4,R64
Oregon St.,2020,0,NIT
New Mexico St.,2020,4,R64
Furman,2020,0,NIT
TCU,2020,0,NIT
Georgia,2020,0,NIT
Vermont,2020,4,R64
Iowa St.,2020,0,NIT
Duquesne,2020,0,NIT
Kansas St.,2020,0,NIT
Northern Colorado,2020,0,NIT
UNC Greensboro,2020,0,NIT
Loyola Chicago,2020,0,NIT
DePaul,2020,0,NIT
UNLV,2020,0,NIT
Boise St.,2020,0,NIT
Belmont,2020,3,R64
Missouri,2020,0,NIT
Wake Forest,2020,0,NIT
Miami FL,2020,0,NIT
Mississippi,2020,0,NIT
Stephen F. Austin,2020,5,R64
UCF,2020,0,NIT
Hofstra,2020,3,R64
Ball St.,2020,0,NIT
Bradley,2020,3,R64
South Florida,2020,0,NIT
Indiana St.,2020,0,NIT
Utah,2020,0,NIT
Harvard,2020,0,NIT
Colorado St.,2020,0,NIT
UC Irvine,2020,2,R64
Pacific,2020,0,NIT
Northwestern,2020,0,NIT
Western Kentucky,2020,0,NIT
Virginia Tech,2020,0,NIT
Washington St.,2020,0,NIT
Missouri St.,2020,0,NIT
Northeastern,2020,0,NIT
Wright St.,2020,0,NIT
Pittsburgh,2020,0,NIT
St. Bonaventure,2020,0,NIT
Temple,2020,0,NIT
Murray St.,2020,0,NIT
North Dakota St.,2020,2,R64
Pepperdine,2020,0,NIT
Texas A&M,2020,0,NIT
Kent St.,2020,0,NIT
Georgia St.,2020,0,NIT
Penn,2020,0,NIT
South Dakota St.,2020,0,NIT
Abilene Christian,2020,0,NIT
UT Arlington,2020,0,NIT
Santa Clara,2020,0,NIT
Colgate,2020,0,NIT
Little Rock,2020,2,R64
Princeton,2020,0,NIT
Chattanooga,2020,0,NIT
Montana,2020,0,NIT
FIU,2020,0,NIT
California,2020,0,NIT
Buffalo,2020,0,NIT
Siena,2020,1,R64
Marshall,2020,0,NIT
Towson,2020,0,NIT
Georgia Southern,2020,0,NIT
Ohio,2020,0,NIT
Eastern Washington,2020,3,R64
Wofford,2020,0,NIT
Drake,2020,0,NIT
New Mexico,2020,0,NIT
North Florida,2020,0,NIT
Oral Roberts,2020,0,NIT
Vanderbilt,2020,0,NIT
Delaware,2020,0,NIT
Nebraska,2020,0,NIT
Bowling Green,2020,0,NIT
Austin Peay,2020,0,NIT
Southern Illinois,2020,0,NIT
Charlotte,2020,0,NIT
Fresno St.,2020,0,NIT
Old Dominion,2020,0,NIT
South Alabama,2020,0,NIT
Toledo,2020,0,NIT
Boston College,2020,0,NIT
Valparaiso,2020,0,NIT
Winthrop,2020,1,R64
Portland St.,2020,0,NIT
Western Carolina,2020,0,NIT
College of Charleston,2020,0,NIT
George Mason,2020,0,NIT
Northern Kentucky,2020,2,R64
Boston University,2020,1,R64
Massachusetts,2020,0,NIT
William & Mary,2020,0,NIT
Tulane,2020,0,NIT
UAB,2020,0,NIT
South Dakota,2020,0,NIT
La Salle,2020,0,NIT
UC Santa Barbara,2020,0,NIT
Florida Atlantic,2020,0,NIT
Southern Utah,2020,0,NIT
Nicholls St.,2020,0,NIT
Loyola Marymount,2020,0,NIT
Sacramento St.,2020,0,NIT
Northern Illinois,2020,0,NIT
Mercer,2020,0,NIT
St. Francis PA,2020,0,NIT
Illinois Chicago,2020,0,NIT
Rice,2020,0,NIT
UTEP,2020,0,NIT
Eastern Michigan,2020,0,NIT
Coastal Carolina,2020,0,NIT
Hawaii,2020,0,NIT
American,2020,0,NIT
Air Force,2020,0,NIT
Radford,2020,0,NIT
Illinois St.,2020,0,NIT
Saint Peter's,2020,0,NIT
Dartmouth,2020,0,NIT
Rider,2020,0,NIT
Sam Houston St.,2020,0,NIT
Robert Morris,2020,1,R64
Appalachian St.,2020,0,NIT
UTSA,2020,0,NIT
Monmouth,2020,0,NIT
Brown,2020,0,NIT
Cal Baptist,2020,0,NIT
Seattle,2020,0,NIT
Central Michigan,2020,0,NIT
Sacred Heart,2020,0,NIT
Stony Brook,2020,0,NIT
Lamar,2020,0,NIT
East Carolina,2020,0,NIT
Gardner Webb,2020,0,NIT
UC Riverside,2020,0,NIT
Miami OH,2020,0,NIT
UMKC,2020,0,NIT
Green Bay,2020,0,NIT
Merrimack,2020,0,NIT
Nebraska Omaha,2020,0,NIT
Eastern Illinois,2020,0,NIT
Montana St.,2020,0,NIT
San Diego,2020,0,NIT
George Washington,2020,0,NIT
Lafayette,2020,0,NIT
Iona,2020,0,NIT
Oakland,2020,0,NIT
Southern,2020,0,NIT
Cal St. Northridge,2020,0,NIT
Louisiana Lafayette,2020,0,NIT
UC Davis,2020,0,NIT
Youngstown St.,2020,0,NIT
Northern Arizona,2020,0,NIT
Drexel,2020,0,NIT
Arkansas St.,2020,0,NIT
Wyoming,2020,0,NIT
Fordham,2020,0,NIT
North Dakota,2020,0,NIT
Prairie View A&M,2020,1,R64
Campbell,2020,0,NIT
Hartford,2020,0,NIT
Louisiana Monroe,2020,0,NIT
Western Michigan,2020,0,NIT
Elon,2020,0,NIT
Tennessee St.,2020,0,NIT
Eastern Kentucky,2020,0,NIT
Saint Joseph's,2020,0,NIT
Bryant,2020,0,NIT
Jacksonville,2020,0,NIT
VMI,2020,0,NIT
Lipscomb,2020,0,NIT
Northwestern St.,2020,0,NIT
UT Rio Grande Valley,2020,0,NIT
Southern Miss,2020,0,NIT
Norfolk St.,2020,0,NIT
Jackson St.,2020,0,NIT
Bucknell,2020,0,NIT
Cal St. Bakersfield,2020,0,NIT
Cornell,2020,0,NIT
New Hampshire,2020,0,NIT
Utah Valley,2020,0,NIT
Navy,2020,0,NIT
Army,2020,0,NIT
Grand Canyon,2020,0,NIT
Milwaukee,2020,0,NIT
Fort Wayne,2020,0,NIT
UMBC,2020,0,NIT
McNeese St.,2020,0,NIT
Jacksonville St.,2020,0,NIT
LIU Brooklyn,2020,0,NIT
North Carolina A&T,2020,0,NIT
Stetson,2020,0,NIT
Loyola MD,2020,0,NIT
Canisius,2020,0,NIT
James Madison,2020,0,NIT
Evansville,2020,0,NIT
UMass Lowell,2020,0,NIT
Portland,2020,0,NIT
Quinnipiac,2020,0,NIT
Weber St.,2020,0,NIT
Albany,2020,0,NIT
Central Arkansas,2020,0,NIT
Fairleigh Dickinson,2020,0,NIT
Columbia,2020,0,NIT
NJIT,2020,0,NIT
Lehigh,2020,0,NIT
Cal St. Fullerton,2020,0,NIT
Long Beach St.,2020,0,NIT
Mount St. Mary's,2020,0,NIT
North Alabama,2020,0,NIT
San Jose St.,2020,0,NIT
North Carolina Central,2020,1,R64
Idaho St.,2020,0,NIT
Texas Southern,2020,0,NIT
Manhattan,2020,0,NIT
UNC Asheville,2020,0,NIT
Bethune Cookman,2020,0,NIT
Texas A&M Corpus Chris,2020,0,NIT
Hampton,2020,0,NIT
Middle Tennessee,2020,0,NIT
Detroit,2020,0,NIT
Troy,2020,0,NIT
Grambling St.,2020,0,NIT
Denver,2020,0,NIT
UNC Wilmington,2020,0,NIT
St. Francis NY,2020,0,NIT
Florida Gulf Coast,2020,0,NIT
Florida A&M,2020,0,NIT
Charleston Southern,2020,0,NIT
Morehead St.,2020,0,NIT
Cal Poly,2020,0,NIT
Fairfield,2020,0,NIT
Maine,2020,0,NIT
Niagara,2020,0,NIT
Cleveland St.,2020,0,NIT
Idaho,2020,0,NIT
Marist,2020,0,NIT
Samford,2020,0,NIT
Longwood,2020,0,NIT
New Orleans,2020,0,NIT
USC Upstate,2020,0,NIT
Southeastern Louisiana,2020,0,NIT
The Citadel,2020,0,NIT
Alcorn St.,2020,0,NIT
Morgan St.,2020,0,NIT
Presbyterian,2020,0,NIT
SIU Edwardsville,2020,0,NIT
Wagner,2020,0,NIT
Tennessee Tech,2020,0,NIT
Western Illinois,2020,0,NIT
Houston Baptist,2020,0,NIT
Tennessee Martin,2020,0,NIT
IUPUI,2020,0,NIT
Coppin St.,2020,0,NIT
Binghamton,2020,0,NIT
Southeast Missouri St.,2020,0,NIT
South Carolina St.,2020,0,NIT
Alabama St.,2020,0,NIT
Incarnate Word,2020,0,NIT
High Point,2020,0,NIT
Holy Cross,2020,0,NIT
Central Connecticut,2020,0,NIT
Alabama A&M,2020,0,NIT
Delaware St.,2020,0,NIT
Howard,2020,0,NIT
Arkansas Pine Bluff,2020,0,NIT
Maryland Eastern Shore,2020,0,NIT
Mississippi Valley St.,2020,0,NIT
Kennesaw St.,2020,0,NIT
Chicago St.,2020,0,NIT
Gonzaga,2021,16,F2
Baylor,2021,16,CHMP
Houston,2021,15,F4
Illinois,2021,16,R32
Michigan,2021,16,E8
Iowa,2021,15,R32
USC,2021,11,E8
Colorado,2021,12,R32
Alabama,2021,15,S16
Florida St.,2021,13,S16
Ohio St.,2021,15,R64
Wisconsin,2021,8,R32
Loyola Chicago,2021,9,S16
Villanova,2021,12,S16
Connecticut,2021,10,R64
Texas Tech,2021,11,R32
San Diego St.,2021,11,R64
UCLA,2021,6,F4
Texas,2021,14,R64
West Virginia,2021,14,R32
Virginia,2021,13,R64
LSU,2021,9,R32
Memphis,2021,0,NIT
Creighton,2021,12,S16
BYU,2021,11,R64
Arkansas,2021,14,E8
Tennessee,2021,12,R64
Arizona,2021,0,NIT
Purdue,2021,13,R64
Oregon,2021,10,S16
Kansas,2021,14,R32
Duke,2021,0,NIT
Georgia Tech,2021,8,R64
Maryland,2021,7,R32
St. Bonaventure,2021,8,R64
Oklahoma St.,2021,13,R32
North Carolina,2021,9,R64
Syracuse,2021,6,S16
Florida,2021,10,R32
Oklahoma,2021,9,R32
Missouri,2021,8,R64
Rutgers,2021,7,R32
VCU,2021,7,R64
Clemson,2021,10,R64
Penn St.,2021,0,NIT
Utah St.,2021,6,R64
Kentucky,2021,0,NIT
Mississippi,2021,0,NIT
Utah,2021,0,NIT
Virginia Tech,2021,7,R64
North Carolina St.,2021,0,NIT
Georgetown,2021,5,R64
Oregon St.,2021,5,E8
Saint Louis,2021,0,NIT
Seton Hall,2021,0,NIT
Indiana,2021,0,NIT
Stanford,2021,0,NIT
Providence,2021,0,NIT
Michigan St.,2021,6,R64
Mississippi St.,2021,0,NIT
Xavier,2021,0,NIT
Louisville,2021,0,NIT
Richmond,2021,0,NIT
Marquette,2021,0,NIT
SMU,2021,0,NIT
Minnesota,2021,0,NIT
St. John's,2021,0,NIT
Boise St.,2021,0,NIT
Wichita St.,2021,6,R64
UC Santa Barbara,2021,5,R64
Auburn,2021,0,NIT
Washington St.,2021,0,NIT
Buffalo,2021,0,NIT
Ohio,2021,4,R32
Toledo,2021,0,NIT
Saint Mary's,2021,0,NIT
Northwestern,2021,0,NIT
Davidson,2021,0,NIT
Drake,2021,6,R64
Colgate,2021,3,R64
North Texas,2021,4,R32
Wright St.,2021,0,NIT
Arizona St.,2021,0,NIT
Louisiana Tech,2021,0,NIT
Colorado St.,2021,0,NIT
Notre Dame,2021,0,NIT
Pepperdine,2021,0,NIT
Nebraska,2021,0,NIT
UAB,2021,0,NIT
Western Kentucky,2021,0,NIT
Eastern Washington,2021,3,R64
Dayton,2021,0,NIT
Georgia,2021,0,NIT
Liberty,2021,4,R64
Vanderbilt,2021,0,NIT
Winthrop,2021,5,R64
UCF,2021,0,NIT
Furman,2021,0,NIT
Loyola Marymount,2021,0,NIT
Grand Canyon,2021,2,R64
Pittsburgh,2021,0,NIT
Abilene Christian,2021,3,R32
San Francisco,2021,0,NIT
Nevada,2021,0,NIT
Missouri St.,2021,0,NIT
Massachusetts,2021,0,NIT
Marshall,2021,0,NIT
Belmont,2021,0,NIT
UC Riverside,2021,0,NIT
UC Irvine,2021,0,NIT
Duquesne,2021,0,NIT
Pacific,2021,0,NIT
Rhode Island,2021,0,NIT
California,2021,0,NIT
UNC Greensboro,2021,4,R64
DePaul,2021,0,NIT
TCU,2021,0,NIT
Cincinnati,2021,0,NIT
Akron,2021,0,NIT
South Dakota St.,2021,0,NIT
Butler,2021,0,NIT
Texas A&M,2021,0,NIT
Oral Roberts,2021,2,S16
Indiana St.,2021,0,NIT
UTEP,2021,0,NIT
Temple,2021,0,NIT
South Carolina,2021,0,NIT
Miami FL,2021,0,NIT
George Mason,2021,0,NIT
Tulsa,2021,0,NIT
Kent St.,2021,0,NIT
Santa Clara,2021,0,NIT
Mercer,2021,0,NIT
Morehead St.,2021,3,R64
Iona,2021,2,R64
East Tennessee St.,2021,0,NIT
James Madison,2021,0,NIT
Vermont,2021,0,NIT
Weber St.,2021,0,NIT
Drexel,2021,1,R64
Southern Utah,2021,0,NIT
Kansas St.,2021,0,NIT
Chattanooga,2021,0,NIT
New Mexico St.,2021,0,NIT
Old Dominion,2021,0,NIT
Washington,2021,0,NIT
Wofford,2021,0,NIT
Ball St.,2021,0,NIT
Navy,2021,0,NIT
South Dakota,2021,0,NIT
Georgia St.,2021,0,NIT
UTSA,2021,0,NIT
Wyoming,2021,0,NIT
Florida Atlantic,2021,0,NIT
Tulane,2021,0,NIT
Murray St.,2021,0,NIT
Wake Forest,2021,0,NIT
North Dakota St.,2021,0,NIT
Bowling Green,2021,0,NIT
Jacksonville St.,2021,0,NIT
Boston College,2021,0,NIT
Miami OH,2021,0,NIT
Cal St. Bakersfield,2021,0,NIT
Stephen F. Austin,2021,0,NIT
Bellarmine,2021,0,NIT
Bradley,2021,0,NIT
Texas St.,2021,0,NIT
VMI,2021,0,NIT
Iowa St.,2021,0,NIT
UMBC,2021,0,NIT
UNLV,2021,0,NIT
East Carolina,2021,0,NIT
Northeastern,2021,0,NIT
Northern Iowa,2021,0,NIT
Bryant,2021,0,NIT
Eastern Kentucky,2021,0,NIT
Gardner Webb,2021,0,NIT
Hofstra,2021,0,NIT
Detroit,2021,0,NIT
Fresno St.,2021,0,NIT
Cleveland St.,2021,2,R64
South Florida,2021,0,NIT
San Diego,2021,0,NIT
Sam Houston St.,2021,0,NIT
Hartford,2021,1,R64
Elon,2021,0,NIT
Coastal Carolina,2021,0,NIT
Southern Illinois,2021,0,NIT
Army,2021,0,NIT
Siena,2021,0,NIT
Austin Peay,2021,0,NIT
Utah Valley,2021,0,NIT
Loyola MD,2021,0,NIT
Campbell,2021,0,NIT
Montana,2021,0,NIT
Rice,2021,0,NIT
Saint Joseph's,2021,0,NIT
Valparaiso,2021,0,NIT
Hawaii,2021,0,NIT
Delaware,2021,0,NIT
Louisiana Lafayette,2021,0,NIT
Seattle,2021,0,NIT
Tarleton St.,2021,0,NIT
La Salle,2021,0,NIT
Cal Baptist,2021,0,NIT
Norfolk St.,2021,1,R64
Evansville,2021,0,NIT
Wagner,2021,0,NIT
Albany,2021,0,NIT
Illinois St.,2021,0,NIT
UMKC,2021,0,NIT
Northern Kentucky,2021,0,NIT
George Washington,2021,0,NIT
South Alabama,2021,0,NIT
Texas Southern,2021,1,R64
UC Davis,2021,0,NIT
Saint Peter's,2021,0,NIT
Morgan St.,2021,0,NIT
Montana St.,2021,0,NIT
Arkansas St.,2021,0,NIT
Mount St. Mary's,2021,1,R64
Long Beach St.,2021,0,NIT
Oakland,2021,0,NIT
Monmouth,2021,0,NIT
College of Charleston,2021,0,NIT
Nicholls St.,2021,0,NIT
Longwood,2021,0,NIT
Milwaukee,2021,0,NIT
Northern Colorado,2021,0,NIT
Appalachian St.,2021,1,R64
Boston University,2021,0,NIT
Stetson,2021,0,NIT
Lipscomb,2021,0,NIT
Youngstown St.,2021,0,NIT
The Citadel,2021,0,NIT
Prairie View A&M,2021,0,NIT
Stony Brook,2021,0,NIT
Radford,2021,0,NIT
Western Carolina,2021,0,NIT
Green Bay,2021,0,NIT
Samford,2021,0,NIT
Niagara,2021,0,NIT
Portland St.,2021,0,NIT
Lafayette,2021,0,NIT
Marist,2021,0,NIT
UMass Lowell,2021,0,NIT
UC San Diego,2021,0,NIT
UNC Asheville,2021,0,NIT
UT Arlington,2021,0,NIT
Western Michigan,2021,0,NIT
UNC Wilmington,2021,0,NIT
Charlotte,2021,0,NIT
Georgia Southern,2021,0,NIT
Holy Cross,2021,0,NIT
American,2021,0,NIT
Quinnipiac,2021,0,NIT
Cal St. Fullerton,2021,0,NIT
Sacramento St.,2021,0,NIT
Canisius,2021,0,NIT
LIU Brooklyn,2021,0,NIT
Bucknell,2021,0,NIT
Jackson St.,2021,0,NIT
Little Rock,2021,0,NIT
Idaho St.,2021,0,NIT
Coppin St.,2021,0,NIT
IUPUI,2021,0,NIT
Merrimack,2021,0,NIT
Eastern Michigan,2021,0,NIT
Fairleigh Dickinson,2021,0,NIT
New Mexico,2021,0,NIT
Fort Wayne,2021,0,NIT
Southern Miss,2021,0,NIT
Southeast Missouri St.,2021,0,NIT
High Point,2021,0,NIT
New Orleans,2021,0,NIT
North Dakota,2021,0,NIT
Fairfield,2021,0,NIT
Cal St. Northridge,2021,0,NIT
Louisiana Monroe,2021,0,NIT
Middle Tennessee,2021,0,NIT
FIU,2021,0,NIT
New Hampshire,2021,0,NIT
Western Illinois,2021,0,NIT
Manhattan,2021,0,NIT
Central Michigan,2021,0,NIT
Rider,2021,0,NIT
North Alabama,2021,0,NIT
William & Mary,2021,0,NIT
St. Francis NY,2021,0,NIT
UT Rio Grande Valley,2021,0,NIT
Illinois Chicago,2021,0,NIT
Troy,2021,0,NIT
Towson,2021,0,NIT
North Florida,2021,0,NIT
Lamar,2021,0,NIT
Robert Morris,2021,0,NIT
Sacred Heart,2021,0,NIT
Florida Gulf Coast,2021,0,NIT
Binghamton,2021,0,NIT
North Carolina A&T,2021,0,NIT
Air Force,2021,0,NIT
St. Francis PA,2021,0,NIT
Nebraska Omaha,2021,0,NIT
Portland,2021,0,NIT
Eastern Illinois,2021,0,NIT
San Jose St.,2021,0,NIT
Southern,2021,0,NIT
Northwestern St.,2021,0,NIT
Jacksonville,2021,0,NIT
Florida A&M,2021,0,NIT
NJIT,2021,0,NIT
Tennessee Tech,2021,0,NIT
Hampton,2021,0,NIT
Dixie St.,2021,0,NIT
Kennesaw St.,2021,0,NIT
Fordham,2021,0,NIT
Lehigh,2021,0,NIT
Grambling St.,2021,0,NIT
Cal Poly,2021,0,NIT
Northern Arizona,2021,0,NIT
USC Upstate,2021,0,NIT
Tennessee St.,2021,0,NIT
SIU Edwardsville,2021,0,NIT
Central Arkansas,2021,0,NIT
Charleston Southern,2021,0,NIT
Presbyterian,2021,0,NIT
Northern Illinois,2021,0,NIT
Incarnate Word,2021,0,NIT
Maine,2021,0,NIT
McNeese St.,2021,0,NIT
Denver,2021,0,NIT
Howard,2021,0,NIT
Central Connecticut,2021,0,NIT
Alcorn St.,2021,0,NIT
Texas A&M Corpus Chris,2021,0,NIT
Tennessee Martin,2021,0,NIT
Idaho,2021,0,NIT
North Carolina Central,2021,0,NIT
Southeastern Louisiana,2021,0,NIT
Alabama A&M,2021,0,NIT
Houston Baptist,2021,0,NIT
Arkansas Pine Bluff,2021,0,NIT
Delaware St.,2021,0,NIT
Alabama St.,2021,0,NIT
South Carolina St.,2021,0,NIT
Chicago St.,2021,0,NIT
Mississippi Valley St.,2021,0,NIT
